#  California Precipitation
# Units: Inches
# Base Period: 1901-2000
Date,Value,Anomaly
197210,1.79,0.59
197211,4.23,1.7
197212,2.97,-0.64
197301,6.05,1.8
197302,5.35,1.5
197303,3.34,0.13
197304,0.41,-1.22
197305,0.41,-0.47
197306,0.06,-0.29
197307,0.06,-0.12
197308,0.17,-0.07
197309,0.53,0.08
197310,1.91,0.71
197311,6.58,4.05
197312,4.06,0.45
197401,5.67,1.42
197402,1.66,-2.19
197403,5.4,2.19
197404,1.77,0.14
197405,0.17,-0.71
197406,0.13,-0.22
197407,0.4,0.22
197408,0.19,-0.05
197409,0.01,-0.44
197410,1.55,0.35
197411,1.03,-1.5
197412,3.37,-0.24
197501,1.58,-2.67
197502,5.41,1.56
197503,5.76,2.55
197504,2.08,0.45
197505,0.24,-0.64
197506,0.2,-0.15
197507,0.17,-0.01
197508,0.33,0.09
197509,0.34,-0.11
197510,2.61,1.41
197511,1.19,-1.34
197512,1.03,-2.58
197601,0.45,-3.8
197602,3.89,0.04
197603,1.4,-1.81
197604,1.49,-0.14
197605,0.25,-0.63
197606,0.15,-0.2
197607,0.34,0.16
197608,0.55,0.31
197609,1.31,0.86
197610,0.51,-0.69
197611,0.86,-1.67
197612,0.55,-3.06
197701,1.98,-2.27
197702,1.16,-2.69
197703,1.64,-1.57
197704,0.23,-1.4
197705,1.88,1
197706,0.35,0
197707,0.08,-0.1
197708,0.75,0.51
197709,0.87,0.42
197710,0.5,-0.7
197711,2.18,-0.35
197712,5.91,2.3
197801,7.97,3.72
197802,5.77,1.92
197803,5.75,2.54
197804,3.48,1.85
197805,0.38,-0.5
197806,0.17,-0.18
197807,0.12,-0.06
197808,0.22,-0.02
197809,1.31,0.86
197810,0.2,-1
197811,1.96,-0.57
197812,1.53,-2.08
197901,5.05,0.8
197902,4.86,1.01
197903,3.44,0.23
197904,1.12,-0.51
197905,0.84,-0.04
197906,0.05,-0.3
197907,0.38,0.2
197908,0.45,0.21
197909,0.24,-0.21
197910,2.51,1.31
197911,2.55,0.02
197912,3.14,-0.47
198001,6.63,2.38
198002,7.51,3.66
198003,2.81,-0.4
198004,1.68,0.05
198005,0.88,0
198006,0.33,-0.02
198007,0.2,0.02
198008,0.04,-0.2
198009,0.22,-0.23
198010,0.57,-0.63
198011,0.63,-1.9
198012,2.62,-0.99
198101,4.39,0.14
198102,2.08,-1.77
198103,4.04,0.83
198104,0.97,-0.66
198105,0.9,0.02
198106,0.09,-0.26
198107,0.04,-0.14
198108,0.1,-0.14
198109,0.58,0.13
198110,2.44,1.24
198111,5.99,3.46
198112,4.62,1.01
198201,4.24,-0.01
198202,2.95,-0.9
198203,5.78,2.57
198204,3.64,2.01
198205,0.22,-0.66
198206,0.68,0.33
198207,0.23,0.05
198208,0.36,0.12
198209,1.26,0.81
198210,2.66,1.46
198211,5.05,2.52
198212,4.92,1.31
198301,5.93,1.68
198302,6.8,2.95
198303,9.02,5.81
198304,3.12,1.49
198305,0.53,-0.35
198306,0.23,-0.12
198307,0.1,-0.08
198308,1.14,0.9
198309,0.91,0.46
198310,1.18,-0.02
198311,6.55,4.02
198312,6.95,3.34
